ordinal,family,name,root_field,slot,confidence,evidence
7,MC_GRP,MC_grpGetImageProperty,0x04,+0x00,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=7
9,MC_GRP,MC_grpGetScreenFrameBuffer,0x04,+0x08,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=9
10,MC_GRP,MC_grpDestroyOffScreenFrameBuffer,0x04,+0x0c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=10
11,MC_GRP,MC_grpCreateOffScreenFrameBuffer,0x04,+0x10,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=11
12,MC_GRP,MC_grpInitContext,0x04,+0x14,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=12
13,MC_GRP,MC_grpSetContext,0x04,+0x18,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=13
14,MC_GRP,MC_grpGetContext,0x04,+0x1c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=14
16,MC_GRP,MC_grpDrawLine,0x04,+0x24,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=16
17,MC_GRP,MC_grpDrawRect,0x04,+0x28,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=17
18,MC_GRP,MC_grpFillRect,0x04,+0x2c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=18
19,MC_GRP,MC_grpCopyFrameBuffer,0x04,+0x30,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=19
20,MC_GRP,MC_grpDrawImage,0x04,+0x34,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=20
21,MC_GRP,MC_grpCopyArea,0x04,+0x38,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=21
24,MC_GRP,MC_grpDrawString,0x04,+0x44,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=24
28,MC_GRP,MC_grpFlushLcd,0x04,+0x54,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=28
29,MC_GRP,MC_grpGetPixelFromRGB,0x04,+0x58,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=29
30,MC_GRP,MC_grpGetDisplayInfo,0x04,+0x60,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=30
31,MC_GRP,MC_grpRepaint,0x04,+0x64,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=31
32,MC_GRP,MC_grpGetFont,0x04,+0x68,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=32
33,MC_GRP,MC_grpGetFontHeight,0x04,+0x6c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=33
34,MC_GRP,MC_grpGetFontAscent,0x04,+0x70,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=34
36,MC_GRP,MC_grpGetStringWidth,0x04,+0x78,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=36
38,MC_GRP,MC_grpCreateImage,0x04,+0x80,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=38
39,MC_GRP,MC_grpDestroyImage,0x04,+0x84,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=39
40,MC_GRP,MC_grpDecodeNextImage,0x04,+0x88,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=40
42,MC_GRP,MC_grpPostEvent,0x04,+0x90,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=42
45,MC_GRP,MC_grpGetRGBFromPixel,0x04,+0x5c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=45
46,MC_FS,MC_fsOpen,0x0c,+0x00,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=46
47,MC_FS,MC_fsRead,0x0c,+0x04,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=47
48,MC_FS,MC_fsWrite,0x0c,+0x08,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=48
49,MC_FS,MC_fsClose,0x0c,+0x0c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=49
50,MC_FS,MC_fsSeek,0x0c,+0x10,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=50
51,MC_FS,MC_fsFileAttribute,0x0c,+0x14,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=51
52,MC_FS,MC_fsRemove,0x0c,+0x18,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=52
53,MC_FS,MC_fsRename,0x0c,+0x1c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=53
54,MC_FS,MC_fsMkDir,0x0c,+0x20,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=54
55,MC_FS,MC_fsRmDir,0x0c,+0x24,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=55
56,MC_FS,MC_fsList,0x0c,+0x28,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=56
57,MC_FS,MC_fsTotalSpace,0x0c,+0x2c,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=57
58,MC_FS,MC_fsAvailable,0x0c,+0x30,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=58
60,MC_FS,MC_fsGetCounts,0x0c,+0x38,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=60
61,MC_FS,MC_fsTell,0x0c,+0x40,confirmed,anycall_magichole@ca5a91ad6392f62dd7428711e7a8dd9f621d3949:docs/maps/wipi_public_syscall_resolution_audit.csv#ordinal=61
