ordinal,family,name,prototype,implementation,abi_class,ktf_samsung_confidence,ktf_samsung_selector_kind,ktf_samsung_slot,evidence
1,MC_SRL,MC_srlClose,M_Int32 MC_srlClose(M_Int32 fd),table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x14,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:488
2,MC_SRL,MC_srlOpen,"M_Int32 MC_srlOpen(M_Int32 port, M_Byte *param)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x00,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:389
3,MC_SRL,MC_srlWrite,"M_Int32 MC_srlWrite(M_Int32 fd, M_Uint8 *buf, M_Int32 size)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x04,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:423
4,MC_SRL,MC_srlRead,"M_Int32 MC_srlRead(M_Int32 fd, M_Uint8 *buf, M_Int32 size)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x08,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:442
5,MC_SRL,MC_srlSetReadCB,"M_Int32 MC_srlSetReadCB(M_Int32 fd, SRLREADCB cb, void *param)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x0c,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:456
6,MC_SRL,MC_srlSetWriteCB,"M_Int32 MC_srlSetWriteCB(M_Int32 fd, SRLWRITECB cb, void *param)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_PROVIDER_TABLE,+0x10,anycall_magichole:analysis/decompiled/wipi_mc_srl_spec_adapter.c:472
7,MC_GRP,MC_grpGetImageProperty,"M_Int32 MC_grpGetImageProperty(MC_GrpImage img, M_Int32 index)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x00,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:699
8,MC_GRP,MC_grpGetImageFrameBuffer,MC_GrpFrameBuffer MC_grpGetImageFrameBuffer(MC_GrpImage img),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x04,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:725
9,MC_GRP,MC_grpGetScreenFrameBuffer,MC_GrpFrameBuffer MC_grpGetScreenFrameBuffer(M_Int32 i),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x08,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:730
10,MC_GRP,MC_grpDestroyOffScreenFrameBuffer,void MC_grpDestroyOffScreenFrameBuffer(MC_GrpFrameBuffer fb),table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x0c,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:739
11,MC_GRP,MC_grpCreateOffScreenFrameBuffer,"MC_GrpFrameBuffer MC_grpCreateOffScreenFrameBuffer(M_Int32 w, M_Int32 h)",table,word-tail,confirmed,WIPI_SYSCALL_KIND_DAT_IMPORT,+0x10,anycall_magichole:analysis/decompiled/wipi_mc_grp_spec_adapter.c:750
